"当地时间 杭州市(机场)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.12.2024 14:00";"10.5";"762.5";"766.5";"-1.5";"84";"从东北偏东方向吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"13.4";"";"";"2500或更高，或无云。";"";"";"8.0";"7.9";"1.0";"12";"";"";"";"";
"05.12.2024 11:00";"9.7";"764.0";"768.0";"0.1";"93";"从北方吹来的风";"2";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"13.4";"";"";"2500或更高，或无云。";"";"";"5.0";"8.6";"1.0";"12";"";"";"";"";
"05.12.2024 08:00";"9.8";"763.9";"767.8";"0.9";"94";"从北方吹来的风";"2";"";"6";"";"间歇性毛毛雨，不冻，在观测时是微弱的 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"9.7";"13.4";"";"";"2500或更高，或无云。";"";"";"3.6";"8.9";"1.0";"12";"";"";"";"";
"05.12.2024 05:00";"10.2";"763.0";"767.0";"0.0";"93";"从北方吹来的风";"3";"";"6";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"10.2";"13.4";"";"";"2500或更高，或无云。";"";"";"4.3";"9.1";"0.4";"12";"";"";"";"";
"05.12.2024 02:00";"11.6";"763.0";"766.9";"-0.2";"86";"从西北偏北方向吹来的风";"3";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"11.4";"13.4";"";"";"2500或更高，或无云。";"";"";"5.0";"9.3";"无降水";"12";"";"";"";"";
"04.12.2024 23:00";"12.0";"763.2";"767.2";"0.0";"83";"从西北偏西方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"11.4";"13.4";"";"";"2500或更高，或无云。";"";"";"10.0";"9.2";"无降水";"12";"";"";"";"";
"04.12.2024 20:00";"12.1";"763.2";"767.2";"0.5";"79";"从西北方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"11.4";"13.7";"";"";"2500或更高，或无云。";"";"";"11.0";"8.6";"无降水";"12";"";"";"";"";
"04.12.2024 17:00";"12.6";"762.7";"766.7";"0.6";"77";"从西北偏北方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"11.4";"13.7";"";"";"2500或更高，或无云。";"";"";"8.0";"8.7";"无降水";"12";"";"";"";"";
"04.12.2024 14:00";"13.2";"762.1";"766.1";"-1.8";"74";"从东北偏北方向吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"11.4";"14.5";"";"";"2500或更高，或无云。";"";"";"7.0";"8.7";"无降水";"12";"";"";"";"";
"04.12.2024 11:00";"13.0";"763.9";"767.9";"-0.6";"73";"从东方吹来的风";"1";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"11.4";"14.5";"";"";"2500或更高，或无云。";"";"";"6.0";"8.3";"无降水";"12";"";"";"";"";
"04.12.2024 08:00";"11.7";"764.5";"768.4";"0.8";"73";"从东北偏北方向吹来的风";"3";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"10.7";"14.5";"";"";"2500或更高，或无云。";"";"";"6.0";"7.0";"无降水";"12";"";"";"";"";
"04.12.2024 05:00";"11.4";"763.7";"767.7";"";"77";"从东北方吹来的风";"2";"";"6";"";"霾 ";"";"";"9.2";"14.5";"";"";"";"";"";"6.0";"7.5";"无降水";"6";"";"";"";"";
"04.12.2024 02:00";"12.2";"763.9";"767.9";"";"83";"从东北偏东方向吹来的风";"3";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"14.5";"";"";"";"";"";"7.0";"9.4";"无降水";"6";"";"";"";"";
"03.12.2024 23:00";"12.9";"764.1";"768.1";"0.5";"84";"从东北偏东方向吹来的风";"2";"";"6";"";"霾 ";"";"";"";"14.5";"";"";"2500或更高，或无云。";"";"";"7.0";"10.3";"无降水";"12";"";"";"";"";
"03.12.2024 20:00";"13.3";"763.6";"767.5";"0.8";"86";"从东北偏东方向吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"15.1";"";"";"2500或更高，或无云。";"";"";"2.9";"11.0";"无降水";"12";"";"";"";"";
"03.12.2024 17:00";"12.9";"762.8";"766.8";"0.4";"89";"从西北方吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"17.8";"";"";"2500或更高，或无云。";"";"";"2.2";"11.1";"无降水";"12";"";"";"";"";
"03.12.2024 14:00";"14.2";"762.4";"766.3";"-2.1";"82";"从西北偏西方向吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"";"";"";"2500或更高，或无云。";"";"";"2.4";"11.2";"无降水";"12";"";"";"";"";
"03.12.2024 11:00";"12.5";"764.5";"768.4";"0.9";"90";"从东北偏北方向吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"";"";"";"2500或更高，或无云。";"";"";"1.7";"10.9";"无降水";"12";"";"";"";"";
"03.12.2024 08:00";"10.7";"763.6";"767.6";"0.9";"90";"从西北方吹来的风";"2";"";"5";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.2";"22.1";"";"";"2500或更高，或无云。";"";"";"2.2";"9.1";"无降水";"12";"";"";"";"";
"03.12.2024 05:00";"10.0";"762.7";"766.6";"0.6";"81";"从西北方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"8.3";"22.1";"";"";"2500或更高，或无云。";"";"";"7.0";"6.9";"无降水";"12";"";"";"";"";
"03.12.2024 02:00";"10.1";"762.1";"766.0";"0.3";"76";"从西北偏北方向吹来的风";"1";"";"3";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.6";"22.1";"";"";"2500或更高，或无云。";"";"";"11.0";"6.1";"无降水";"12";"";"";"";"";
"02.12.2024 23:00";"12.0";"761.8";"765.7";"0.6";"64";"从西北偏北方向吹来的风";"1";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"7.6";"22.1";"";"";"2500或更高，或无云。";"";"";"14.0";"5.4";"无降水";"12";"";"";"";"";
"02.12.2024 20:00";"15.0";"761.2";"765.1";"1.2";"50";"从西北方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.6";"22.1";"";"";"2500或更高，或无云。";"";"";"17.0";"4.7";"无降水";"12";"";"";"";"";
"02.12.2024 17:00";"17.7";"760.0";"763.9";"0.6";"44";"从北方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.6";"22.1";"";"";"2500或更高，或无云。";"";"";"20.0";"5.3";"无降水";"12";"";"";"";"";
"02.12.2024 14:00";"21.6";"759.4";"763.3";"-1.3";"31";"从东南方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.6";"21.8";"";"";"2500或更高，或无云。";"";"";"22.0";"3.8";"无降水";"12";"";"";"";"";
"02.12.2024 11:00";"16.5";"760.7";"764.6";"0.4";"54";"从南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.6";"20.8";"";"";"2500或更高，或无云。";"";"";"15.0";"7.2";"无降水";"12";"";"";"";"";
"02.12.2024 08:00";"10.2";"760.3";"764.2";"1.2";"78";"从南方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.6";"";"";"";"2500或更高，或无云。";"";"";"14.0";"6.4";"无降水";"12";"";"";"";"";
"02.12.2024 05:00";"8.7";"759.1";"763.1";"0.3";"86";"从西南偏南方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"7.5";"20.8";"";"";"2500或更高，或无云。";"";"";"13.0";"6.5";"无降水";"12";"";"";"";"";
"02.12.2024 02:00";"10.1";"758.8";"762.7";"0.4";"74";"从南方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.5";"20.8";"";"";"2500或更高，或无云。";"";"";"10.0";"5.7";"无降水";"12";"";"";"";"";
"01.12.2024 23:00";"11.6";"758.4";"762.3";"1.0";"67";"从西南方吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"7.5";"20.8";"";"";"2500或更高，或无云。";"";"";"10.0";"5.7";"无降水";"12";"";"";"";"";
"01.12.2024 20:00";"13.2";"757.4";"761.4";"0.6";"59";"从西南方吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.5";"20.8";"";"";"2500或更高，或无云。";"";"";"16.0";"5.4";"无降水";"12";"";"";"";"";
"01.12.2024 17:00";"16.4";"756.8";"760.7";"-0.1";"46";"从西南偏南方向吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.5";"20.8";"";"";"2500或更高，或无云。";"";"";"17.0";"4.8";"无降水";"12";"";"";"";"";
"01.12.2024 14:00";"20.0";"756.9";"760.8";"-1.7";"30";"从南方吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.5";"20.2";"";"";"2500或更高，或无云。";"";"";"26.0";"1.9";"无降水";"12";"";"";"";"";
"01.12.2024 11:00";"16.0";"758.6";"762.5";"-0.3";"47";"从南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.5";"18.1";"";"";"2500或更高，或无云。";"";"";"16.0";"4.7";"无降水";"12";"";"";"";"";
"01.12.2024 08:00";"9.3";"758.9";"762.9";"1.2";"76";"从西南偏南方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.5";"";"";"";"2500或更高，或无云。";"";"";"16.0";"5.3";"无降水";"12";"";"";"";"";
"01.12.2024 05:00";"8.2";"757.7";"761.7";"-0.5";"77";"从西南偏南方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.6";"18.1";"";"";"2500或更高，或无云。";"";"";"16.0";"4.4";"无降水";"12";"";"";"";"";
"01.12.2024 02:00";"9.1";"758.2";"762.1";"-0.8";"77";"从西南方吹来的风";"2";"";"3";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.4";"18.1";"";"";"2500或更高，或无云。";"";"";"13.0";"5.3";"无降水";"12";"";"";"";"";
"30.11.2024 23:00";"9.3";"759.0";"763.0";"0.2";"67";"从西北方吹来的风";"1";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.4";"18.1";"";"";"2500或更高，或无云。";"";"";"14.0";"3.5";"无降水";"12";"";"";"";"";
"30.11.2024 20:00";"12.0";"758.8";"762.7";"0.3";"53";"从西北方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.4";"18.1";"";"";"2500或更高，或无云。";"";"";"14.0";"2.5";"无降水";"12";"";"";"";"";
"30.11.2024 17:00";"14.4";"758.5";"762.4";"0.0";"43";"从南方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.4";"18.1";"";"";"2500或更高，或无云。";"";"";"23.0";"2.0";"无降水";"12";"";"";"";"";
"30.11.2024 14:00";"17.7";"758.5";"762.5";"-3.1";"33";"从东南偏南方向吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.4";"17.9";"";"";"2500或更高，或无云。";"";"";"23.0";"1.2";"无降水";"12";"";"";"";"";
"30.11.2024 11:00";"13.9";"761.6";"765.6";"-1.0";"50";"从南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.4";"16.7";"";"";"2500或更高，或无云。";"";"";"18.0";"3.7";"无降水";"12";"";"";"";"";
"30.11.2024 08:00";"7.7";"762.6";"766.6";"0.3";"74";"从西南偏南方向吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.4";"";"";"";"2500或更高，或无云。";"";"";"19.0";"3.4";"无降水";"12";"";"";"";"";
"30.11.2024 05:00";"6.0";"762.3";"766.3";"-0.1";"85";"从西南偏南方向吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.4";"16.7";"";"";"2500或更高，或无云。";"";"";"20.0";"3.7";"无降水";"12";"";"";"";"";
"30.11.2024 02:00";"7.1";"762.4";"766.4";"0.0";"75";"从南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.3";"16.7";"";"";"2500或更高，或无云。";"";"";"16.0";"3.0";"无降水";"12";"";"";"";"";
"29.11.2024 23:00";"8.2";"762.4";"766.4";"0.3";"67";"从南方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"6.4";"16.7";"";"";"2500或更高，或无云。";"";"";"13.0";"2.4";"无降水";"12";"";"";"";"";
"29.11.2024 20:00";"9.4";"762.1";"766.1";"0.6";"52";"从西南偏南方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"16.7";"";"";"2500或更高，或无云。";"";"";"22.0";"0.0";"无降水";"12";"";"";"";"";
"29.11.2024 17:00";"12.5";"761.5";"765.4";"0.0";"38";"从西南方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"16.7";"";"";"2500或更高，或无云。";"";"";"30.0";"-1.4";"无降水";"12";"";"";"";"";
"29.11.2024 14:00";"16.2";"761.5";"765.5";"-2.3";"25";"从西南偏南方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"16.3";"";"";"2500或更高，或无云。";"";"";"30.0";"-3.8";"无降水";"12";"";"";"";"";
"29.11.2024 11:00";"14.2";"763.8";"767.8";"-0.8";"27";"从西南偏南方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"16.3";"";"";"2500或更高，或无云。";"";"";"27.0";"-4.5";"无降水";"12";"";"";"";"";
"29.11.2024 08:00";"8.4";"764.6";"768.7";"0.6";"48";"从西南偏南方向吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"";"";"";"2500或更高，或无云。";"";"";"25.0";"-2.0";"无降水";"12";"";"";"";"";
"29.11.2024 05:00";"7.7";"764.0";"768.0";"-1.1";"34";"从西南方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.4";"16.3";"";"";"2500或更高，或无云。";"";"";"30.0";"-7.2";"无降水";"12";"";"";"";"";
"29.11.2024 02:00";"7.4";"765.1";"769.1";"-0.6";"38";"从西南方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.2";"16.3";"";"";"2500或更高，或无云。";"";"";"30.0";"-6.0";"无降水";"12";"";"";"";"";
"28.11.2024 23:00";"9.5";"765.7";"769.6";"1.3";"33";"从西北方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.2";"16.3";"";"";"2500或更高，或无云。";"";"";"26.0";"-6.0";"无降水";"12";"";"";"";"";
"28.11.2024 20:00";"10.3";"764.4";"768.4";"1.7";"34";"从西北偏北方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.2";"16.3";"";"";"2500或更高，或无云。";"";"";"24.0";"-4.9";"无降水";"12";"";"";"";"";
"28.11.2024 17:00";"12.3";"762.7";"766.7";"0.9";"29";"从西北偏北方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.2";"16.3";"";"";"2500或更高，或无云。";"";"";"25.0";"-5.2";"无降水";"12";"";"";"";"";
"28.11.2024 14:00";"16.3";"761.8";"765.8";"-2.1";"23";"从西北偏北方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.2";"16.3";"";"";"2500或更高，或无云。";"";"";"28.0";"-4.9";"无降水";"12";"";"";"";"";
"28.11.2024 11:00";"13.4";"763.9";"767.8";"-0.6";"39";"从西南偏南方向吹来的风";"3";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.2";"15.3";"";"";"2500或更高，或无云。";"";"";"25.0";"-0.3";"无降水";"12";"";"";"";"";
"28.11.2024 08:00";"7.8";"764.5";"768.6";"0.4";"59";"从西南偏南方向吹来的风";"4";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.2";"15.3";"";"";"2500或更高，或无云。";"";"";"22.0";"0.1";"无降水";"12";"";"";"";"";
"28.11.2024 05:00";"5.4";"764.1";"768.1";"-0.7";"74";"从西南方吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.2";"15.3";"";"";"2500或更高，或无云。";"";"";"23.0";"1.1";"无降水";"12";"";"";"";"";
"28.11.2024 02:00";"6.3";"764.8";"768.7";"-0.2";"59";"从西南方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.5";"15.3";"";"";"2500或更高，或无云。";"";"";"24.0";"-1.1";"无降水";"12";"";"";"";"";
"27.11.2024 23:00";"7.3";"765.0";"769.0";"0.3";"47";"从西北偏西方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"5.7";"15.3";"";"";"2500或更高，或无云。";"";"";"24.0";"-3.3";"无降水";"12";"";"";"";"";
"27.11.2024 20:00";"9.6";"764.7";"768.7";"1.2";"37";"从西北偏北方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.7";"15.3";"";"";"2500或更高，或无云。";"";"";"24.0";"-4.4";"无降水";"12";"";"";"";"";
"27.11.2024 17:00";"11.8";"763.5";"767.5";"0.5";"30";"从西北偏北方向吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.7";"15.3";"";"";"2500或更高，或无云。";"";"";"28.0";"-5.2";"无降水";"12";"";"";"";"";
"27.11.2024 14:00";"14.8";"763.0";"767.0";"-1.7";"29";"从西北偏西方向吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.7";"15.3";"";"";"2500或更高，或无云。";"";"";"20.0";"-3.1";"无降水";"12";"";"";"";"";
"27.11.2024 11:00";"13.5";"764.7";"768.7";"-0.8";"36";"从西北偏北方向吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.7";"13.7";"";"";"2500或更高，或无云。";"";"";"30.0";"-1.3";"无降水";"12";"";"";"";"";
"27.11.2024 08:00";"7.9";"765.5";"769.6";"1.2";"69";"从西北方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"5.7";"13.6";"";"";"2500或更高，或无云。";"";"";"24.0";"2.6";"无降水";"12";"";"";"";"";
"27.11.2024 05:00";"6.0";"764.3";"768.4";"-0.2";"81";"从西南方吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"6.0";"13.6";"";"";"2500或更高，或无云。";"";"";"24.0";"3.0";"无降水";"12";"";"";"";"";
"27.11.2024 02:00";"6.7";"764.5";"768.5";"-0.2";"64";"从西南方吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"6.4";"13.6";"";"";"2500或更高，或无云。";"";"";"28.0";"0.2";"无降水";"12";"";"";"";"";
"26.11.2024 23:00";"8.4";"764.7";"768.7";"0.0";"53";"从西南偏西方向吹来的风";"2";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"7.4";"13.6";"";"";"2500或更高，或无云。";"";"";"28.0";"-0.6";"无降水";"12";"";"";"";"";
"26.11.2024 20:00";"9.1";"764.7";"768.7";"0.0";"53";"从西北偏西方向吹来的风";"1";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.4";"13.6";"";"";"2500或更高，或无云。";"";"";"29.0";"0.0";"无降水";"12";"";"";"";"";
"26.11.2024 17:00";"10.5";"764.7";"768.7";"0.0";"39";"从西北方吹来的风";"2";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.4";"15.3";"";"";"2500或更高，或无云。";"";"";"30.0";"-2.9";"无降水";"12";"";"";"";"";
"26.11.2024 14:00";"13.1";"764.7";"768.7";"-2.0";"27";"从西北方吹来的风";"3";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.4";"18.3";"";"";"2500或更高，或无云。";"";"";"29.0";"-5.5";"0.2";"12";"";"";"";"";
"26.11.2024 11:00";"11.9";"766.7";"770.7";"-0.5";"33";"从西北偏北方向吹来的风";"4";"";"13";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.4";"";"";"";"2500或更高，或无云。";"";"";"26.0";"-3.9";"5.0";"12";"";"";"";"";
"26.11.2024 08:00";"8.8";"767.2";"771.2";"0.8";"65";"从西北方吹来的风";"2";"";"11";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"7.4";"";"";"";"2500或更高，或无云。";"";"";"18.0";"2.6";"8.0";"12";"";"";"";"";
"26.11.2024 05:00";"8.5";"766.4";"770.4";"0.3";"66";"从西北偏北方向吹来的风";"2";"";"11";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"8.5";"18.3";"";"";"2500或更高，或无云。";"";"";"22.0";"2.5";"10.0";"12";"";"";"";"";
"26.11.2024 02:00";"9.1";"766.1";"770.1";"1.5";"88";"从西北方吹来的风";"4";"";"11";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"9.1";"18.3";"";"";"2500或更高，或无云。";"";"";"6.0";"7.2";"9.0";"12";"";"";"";"";
"25.11.2024 23:00";"10.2";"764.6";"768.6";"1.4";"91";"从西北偏北方向吹来的风";"3";"";"11";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"10.2";"18.3";"";"";"2500或更高，或无云。";"";"";"8.0";"8.8";"5.0";"12";"";"";"";"";
"25.11.2024 20:00";"12.0";"763.2";"767.2";"1.8";"94";"从西北偏北方向吹来的风";"3";"";"11";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"12.0";"18.3";"";"";"2500或更高，或无云。";"";"";"15.0";"11.1";"3.0";"12";"";"";"";"";
"25.11.2024 17:00";"15.4";"761.4";"765.3";"1.4";"84";"从北方吹来的风";"6";"";"11";"";"间歇性毛毛雨，不冻，在观测时是微弱的 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"12.8";"18.3";"";"";"2500或更高，或无云。";"";"";"13.0";"12.7";"0.8";"12";"";"";"";"";
"25.11.2024 14:00";"18.2";"760.0";"763.9";"-2.4";"75";"从南方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"12.8";"18.2";"";"";"2500或更高，或无云。";"";"";"19.0";"13.7";"0.8";"12";"";"";"";"";
